ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
202,13175.403783454076,86.6485338434873,1,3.121492266688973,63.46349432717401,9,0.05234286658251319,8.630515349694399,0.08132168068956508,85.0423792820698,0,2419.6167853897314,0.4689466237325203,5.551638989779324,236.4393009685121,1
535,19770.046092867626,86.3106636132627,4,0.8195305110016484,83.69781763161657,20,4.908328249649529,9.296598088201092,0.03848646964621693,99.65744298305935,7,3915.566712518908,0.11948455827101667,9.080753556517903,353.95763117070123,1
960,19060.820997456784,82.13247237873196,0,4.514504070609866,90.3505500280751,1,2.464922789091977,5.097485700889168,0.002887365066928005,92.81926429207655,2,3392.3853619070132,0.4963915263771467,6.562827271335978,396.1894020789741,1
370,5647.606036955175,87.33596641292537,5,0.6385239600693806,67.62869012018982,8,4.692475791653855,3.5776159908082663,0.05533097122982638,96.88701345693423,8,4652.400275208078,0.18312508808080313,8.097495649797912,164.13586993599623,1
206,7472.222235941557,81.9898933774593,3,3.867783602943844,82.72833363149964,9,2.7467261691752642,6.851709481404519,0.06804713889235275,88.31555363943427,7,1581.6303322233557,0.26350694415960374,6.406154013365929,365.70896355524684,1
171,6975.931601818429,95.33191889424103,1,3.914573642169408,92.56843593531471,19,3.0273243011114435,7.930009365731895,0.07406949453360068,87.07911774289636,7,1238.994421294104,0.11802052326628704,7.279442018854667,171.7118038606049,1
800,15889.698649779433,99.32548595496371,3,4.788999883768687,90.72991110585265,10,3.5595612795198606,3.0468885305972844,0.0401924954309284,91.06315789762185,8,3138.4311499645146,0.3339128812432125,4.89166883913966,188.72773739599336,1
120,17266.77994785418,99.40148913333414,4,0.7436048378104434,92.11968071468613,13,1.6048786683220277,8.380972117476272,0.009701963149240057,88.70556885253279,3,1004.1085544431403,0.29342210616039666,9.333834716873655,312.526896112006,1
714,8202.670494660078,97.30142198750788,5,3.185855873530209,95.17293699478878,2,3.494919803375173,3.6687465601004634,0.05843264344633864,94.29896110273589,4,4150.875772539863,0.366682813893912,5.517451183952448,215.68092079042992,1
221,12587.790394277436,92.01584298679238,2,2.4252825678217382,97.5072840863788,0,2.6339595492569186,5.93341834326768,0.03295478852381818,85.3163618042359,6,3023.8915547400375,0.31707125091658905,5.965972023040868,364.6381764945946,0
566,17610.545420168,94.0173139448776,3,1.9878482968679392,76.22084620814144,6,3.3623997479125336,8.851859599025223,0.0946887482274853,88.99182062184799,1,2952.2623042315745,0.2592711138588276,5.724689529293646,482.3106496966153,0
314,15992.023171493758,85.70411605360829,0,0.9064335213458287,82.75076410091509,3,4.1791663045492005,3.5473960883415403,0.050271210806132775,97.9026549458812,6,2449.9839148966976,0.39510267912466834,3.845701181484266,159.55688053495768,0
430,13133.558082377724,92.61540840345242,1,3.0319435385208915,91.62638104182443,6,0.9211456513599198,3.9350771838623,0.047226604679897866,95.12215800686658,2,2499.89534459505,0.1100084511147831,3.0811459203926708,328.2043329237667,1
558,13855.215356881594,89.11299098879755,0,2.655683265535761,87.88559255783133,15,3.0677545516787985,2.502169251993532,0.03092095323183568,83.36140330035789,5,2724.5347130026234,0.31641160834983806,1.6645146770399952,469.3196730692771,1
187,12625.408203744199,89.64034679553865,3,0.9704950616796092,99.82080913057516,9,0.2605566430491829,3.1729128942650435,0.033878650538354795,97.73729658783195,5,1064.1293777041208,0.14555048153160374,7.463574838022938,170.61159066064494,0
472,9463.226769782308,95.15553120750316,5,3.2562027819368753,60.54710604418577,14,0.5105754447451843,3.1722065582509495,0.05127547840799121,91.78033180890375,5,1334.1831488648186,0.2744033332343333,3.603477368533337,246.74036135394326,1
199,13475.329892885242,85.63836711194503,2,3.820789041138223,74.20532861263163,15,3.372971178677935,3.6274200172331,0.03066647953149948,93.58574366544966,9,3020.192080044948,0.4164501267432066,4.5027816687604645,149.44673399591485,1
971,15333.27953075136,86.3607922338904,2,3.952752354741417,71.2411170508081,5,0.3546882590415973,4.289603176519871,0.08923048843684123,85.88513131698532,1,1600.4890608792164,0.15698429850416007,9.279353464535914,356.8150873255794,1
763,18099.843737912117,98.49283582257273,0,4.574179347180923,70.49263400662139,3,2.976788899069869,8.519866915828327,0.04390179324291087,88.83088527271315,8,4115.050433387993,0.4743241395089941,6.098026144706863,367.6571710778805,1
230,14544.37030968872,81.12448589701944,4,2.3426183384994976,68.90119129995543,3,1.1000629932569272,9.32611091344894,0.029202208401302433,96.13624957812502,7,2097.940696018103,0.45540187695656187,1.8737025751354444,365.67292777425484,1
761,16416.82305564737,89.71268596826681,4,4.7888274587996165,88.36495363260916,23,1.5204241425587401,5.250244873831602,0.015539483354114937,86.61352437526364,6,1391.5985493972962,0.26596202834667937,8.196507215414648,316.85081934533815,1
408,7401.074524318595,98.25601600815723,5,4.394432322872087,63.390378931012876,22,0.648182510737132,3.0256716159064867,0.06723507263003581,83.30123231020387,8,1940.8397036137992,0.10238993629037463,3.3051753919850992,398.50434711910884,1
869,11923.362116296848,92.20726015636313,2,1.8342570696077256,89.66435335773353,3,1.2433374308641965,3.7904794007642453,0.0025786943285584065,87.56609825966962,3,2428.3929206231523,0.4158979306697944,5.974352583815643,114.35091855199188,1
443,5139.974297406399,90.92814148424264,0,1.2167736680725632,87.73703368065094,21,4.10645892409664,7.889647814841804,0.04499957871699404,81.38437334818776,1,1141.2664343795345,0.45235832136491316,5.589833273775915,483.00539497812247,1
591,8700.182967824345,84.9948835845871,0,2.4592522825760605,70.03216530003586,21,3.1943920280326377,7.419404153703118,0.055012182036722396,94.35712916969865,3,1566.702097545316,0.16989523694217304,3.142709581166926,188.8384831717414,1
513,15896.925726695072,86.86550978128896,0,2.30854418580185,70.11335132660645,16,4.7487989735642735,9.737658412845523,0.033978461088033166,82.95491817548395,9,2295.3870179100786,0.46647688352662287,2.0419393131512296,148.62478747669735,1
905,19877.14927024045,97.04096831609385,3,3.0907368739904193,85.15442341378008,12,0.2437242767687764,2.115909444760666,0.07498177472750057,85.7025181412169,2,2241.9218952390565,0.46563891091787846,2.9013544584547124,476.4544171767726,1
485,6487.671493808239,91.18436263536915,5,3.125238045474866,90.48684421934712,1,3.962059985920343,8.006070082258855,0.06756604968379389,97.62162011107785,1,4201.546786239356,0.2885163404136762,1.8760401960756905,432.1747665446333,1
291,11022.414737919324,90.2948438751356,4,3.8749414297098888,95.05942452349461,19,3.495385916397123,6.046348803623853,0.09713989875699618,90.80995315913542,1,4373.021901250612,0.41921392431913673,3.480652170568911,405.94816771667206,1
376,17001.06453048739,81.99159427080058,4,2.794504766925246,94.08558255417903,5,1.3044615259876802,9.221543823379674,0.050876679928968195,86.42676881192952,7,1773.6743965741998,0.27797919130879534,9.975677596637182,141.89828357559264,0
260,8060.534519433482,80.32056312910247,3,0.971701884233445,98.59531976655413,21,3.6458335140529226,6.609333393014936,0.0537812364629383,90.95333780029772,4,1495.7595356513896,0.32561850636744716,4.6188303871724425,423.0116854704663,1
559,13326.274239534294,99.27370377374098,1,4.362311009988978,83.25539581346044,0,3.582742749573101,5.573341795691324,0.02458393191938222,84.36555319263779,5,3536.6499372856733,0.22793560392390533,8.774995522015093,343.60940920391306,1
413,15996.069440445122,87.53972334573683,3,1.8939406243333419,96.34622245361439,7,2.2967260152937192,7.326804875943958,0.03854838907307206,80.50346259411221,7,4218.4942227817255,0.1637877381283298,5.942599229161553,392.763444404738,0
121,14239.781753902686,92.06426124199008,5,4.8708385713796645,92.34053093041643,17,3.4431980942685447,8.66818753744798,0.002686059115830397,92.07464957927606,6,4854.8923888965255,0.39861463352561277,6.999247714003596,491.22811192735696,1
352,7820.371019231242,81.5943014637457,0,1.0303704890589658,95.78670497256054,20,2.222904515075326,4.259988401382816,0.06892747885976895,94.28251865569459,6,1027.1851389860572,0.10055713780765428,2.4071317277550057,177.7764708472001,1
847,10330.768530286092,93.66228571446094,3,4.812130275046265,60.465064051414664,3,1.6777279802893608,2.8602163502740634,0.031162279968354002,97.59563530891958,6,2654.7124537072177,0.3318210758595126,3.473252806797779,301.7527843274121,1
956,16756.87676728096,98.65133417411921,0,0.9095531309713264,98.63611967463244,4,2.3324548016845807,5.464144946554564,0.05403670096666979,95.43766722129448,6,3935.9513363775422,0.44587441055138555,5.5939908072603295,401.340778583646,1
660,13313.39771198025,91.5133050599484,5,1.5396626207617676,78.94120651385913,4,4.475647407463956,3.7161589824938286,0.025499239641094906,98.5335540099103,7,4314.237195497418,0.18851091471058024,8.930290908041567,273.4625403086793,0
574,5078.444203143691,82.52230644750821,5,0.7096097393894372,91.92731958299372,14,1.9229189643010907,5.436329403161673,0.06210362003396587,99.71906951085741,0,1249.1437947323911,0.23315978271920096,1.3859923229644615,121.86123316728339,1
158,16414.861400421407,91.63443054946953,2,3.6730091598754773,65.08816477351124,9,2.0184408872833193,9.9283853823916,0.044758249295404444,94.89870895491596,2,3722.458077856509,0.3349943411457851,5.562279636091488,144.57555955020848,1
610,5529.670324103586,95.32694426209305,0,4.326344314573063,75.83764383255897,7,3.042016138110251,6.592976750192175,0.04818606523862942,97.35846601660668,0,2155.7548695958803,0.19874809861245604,1.4591099125758693,340.8367890182491,1
781,16186.006740968482,88.12833073148037,4,2.4533198681719117,70.85842652083963,6,3.7649973771681067,7.54880178277395,0.09426071398153263,93.4746300645637,7,1298.3878373325015,0.4389947429323132,5.1114040880435425,214.00165855630263,1
575,8037.208402478562,97.59675495882937,3,4.678349337690934,71.66635082003748,11,3.6731043015557825,7.423427379691348,0.07061603231238602,83.41875582416539,1,2956.410327018669,0.24664126684502202,6.659813433993731,155.13625892103735,1
799,19371.1022017907,92.9736590671473,5,3.156345822900198,64.93022479803527,10,0.09899365059078624,8.565606690288508,0.026189973560007396,83.6340485264457,6,1632.613372816584,0.33264548792795445,7.702508722854766,235.95679900983296,1
882,10519.111269531266,97.98497836578406,0,3.3350321095093545,92.23055330172028,12,3.4370766650942657,9.553028792123037,0.05039218177414254,82.20518912630526,5,3948.030072246739,0.19044845903968352,2.2467880473456403,180.3923728179142,1
289,9903.974245071186,92.47010622494675,1,4.304386407653464,60.36969258324313,14,2.2527702404946344,7.270544785664428,0.04666728190519784,98.85949439987047,0,3965.047198797814,0.11655453479639429,2.499177551152133,109.57578662990977,1
786,7233.32075498667,82.62575944009649,2,1.835600922733275,72.5002182794081,16,2.6204498377722873,5.808757158025665,0.07950526068783638,93.4550339567876,5,4368.271059950038,0.16948010640546424,5.230584295226115,160.72559542686645,1
662,9584.063232353223,86.19383422210379,1,2.094195745974316,66.9764217286566,21,2.808316684714896,4.5426475713432914,0.08333551140962026,95.79819500931049,8,2510.2747405910086,0.1184795750435213,9.982328121811666,453.23118436706903,1
975,18149.761427423007,84.03589896504914,5,4.576783636375899,83.56155762433362,21,3.658598085541327,4.882194400990937,0.02834428227417254,86.62314673648729,2,1053.2391889225746,0.28744155984528774,4.204421520910871,104.81491300108642,1
666,19945.01506440871,98.17652995433724,1,4.554335732174437,70.17009610458176,17,4.156664918041565,4.675844864992453,0.08211514539062365,89.20843420153516,6,2038.9437534979188,0.33465495636721976,4.847746846266192,409.5401214376383,1
343,10524.642957602726,95.20800134574965,1,4.894172492903919,70.359938181124,7,3.2313047231611804,4.595723930191119,0.017950140529100145,80.79559063673386,3,2871.2467981011077,0.1178700830741811,4.892020685330964,401.3844423486334,1
931,11729.159464318138,93.52796737820012,2,4.55827242398752,79.53352575981275,5,2.819536104030006,7.557000035056754,0.07627705545376955,97.78014800870196,0,3776.045117664202,0.13619288861517315,1.726307392213859,325.6950753435957,1
604,15831.064073041056,86.01932639263244,2,1.073174162150124,86.10756157363703,10,1.8688462740635092,6.701672239614913,0.024878454380136073,97.06006858823216,6,2528.162342746966,0.2942100107241404,7.967549307609958,183.37910628334828,0
